"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64247","Validate negative registration scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative registration scenarios",""
"","89642","Validate negative login scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative login scenarios",""
"","50983","Validate negative login scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative login scenarios",""
"","2782","Validate negative API scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative API scenarios",""
"","2562","Validate negative API scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative API scenarios",""
"","94594","Complete user journey from registration to logout","","2026-05-26","passed","2026-05-26","","End to End User Flow (Register → Login → Notes → API → Logout)","Complete user journey from registration to logout",""
"","66131","Validate negative login scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative login scenarios",""
"","65181","Validate negative registration scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative registration scenarios",""
"","11726","Validate negative notes scenarios using valid login","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative notes scenarios using valid login",""
"","31835","Validate negative notes scenarios using valid login","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative notes scenarios using valid login",""
"","6689","Complete API lifecycle","","2026-05-26","passed","2026-05-26","","Pure API Notes Flow","Complete API lifecycle",""
"","10893","Validate negative notes scenarios using valid login","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative notes scenarios using valid login",""
"","72099","Validate negative login scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative login scenarios",""
"","105768","Complete user journey from registration to logout","","2026-05-26","passed","2026-05-26","","End to End User Flow (Register → Login → Notes → API → Logout)","Complete user journey from registration to logout",""
"","65047","Validate negative registration scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative registration scenarios",""
"","2708","Validate negative API scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative API scenarios",""
"","81833","Complete UI journey using UI only flow","","2026-05-26","passed","2026-05-26","","UI End to End Flow (Register → Login → Notes → Delete → Logout)","Complete UI journey using UI only flow",""
"","2548","Validate negative API scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative API scenarios",""
"","125721","Complete user journey from registration to logout","","2026-05-26","passed","2026-05-26","","End to End User Flow (Register → Login → Notes → API → Logout)","Complete user journey from registration to logout",""
"","21045","Validate negative registration scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative registration scenarios",""
"","2627","Validate negative API scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative API scenarios",""
"","2883","Validate negative API scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative API scenarios",""
"","2671","Validate negative API scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative API scenarios",""
"","2650","Validate negative API scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative API scenarios",""
"","66615","Validate negative registration scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative registration scenarios",""
"","29638","Validate negative notes scenarios using valid login","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative notes scenarios using valid login",""
"","2909","Validate negative API scenarios","","2026-05-26","passed","2026-05-26","","Negative Validation Flow","Validate negative API scenarios",""
